question,original_result,generated_cypher,generated_result
Who are the top 3 actors with the most diverse roles?,"[{""actor"": ""Tom Hanks"", ""uniqueRolesCount"": 20}, {""actor"": ""Hugo Weaving"", ""uniqueRolesCount"": 8}, {""actor"": ""Meg Ryan"", ""uniqueRolesCount"": 7}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WITH p, COLLECT(DISTINCT r.roles) AS roles_list, COUNT(DISTINCT r.roles) AS roles_count RETURN p.name AS Actor, roles_count AS DiverseRolesCount ORDER BY roles_count DESC LIMIT 3;","[{""Actor"": ""Tom Hanks"", ""DiverseRolesCount"": 12}, {""Actor"": ""Keanu Reeves"", ""DiverseRolesCount"": 5}, {""Actor"": ""Jack Nicholson"", ""DiverseRolesCount"": 5}]"
List the top 5 movies with the most roles listed in ACTED_IN relationship.,"[{""movie"": ""The Polar Express"", ""roleCount"": 6}, {""movie"": ""Cloud Atlas"", ""roleCount"": 6}, {""movie"": ""Cloud Atlas"", ""roleCount"": 4}, {""movie"": ""Cloud Atlas"", ""roleCount"": 4}, {""movie"": ""Joe Versus the Volcano"", ""roleCount"": 3}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WITH m, SUM(size(r.roles)) AS total_roles RETURN m.title AS Movie, total_roles AS RolesCount ORDER BY total_roles DESC LIMIT 5;","[{""Movie"": ""Cloud Atlas"", ""RolesCount"": 17}, {""Movie"": ""A Few Good Men"", ""RolesCount"": 12}, {""Movie"": ""Jerry Maguire"", ""RolesCount"": 9}, {""Movie"": ""The Green Mile"", ""RolesCount"": 8}, {""Movie"": ""Stand By Me"", ""RolesCount"": 7}]"
Find the people who have followed someone with the same birth year.,[],"MATCH (p1:Person)-[:FOLLOWS]->(p2:Person) WHERE p1.born = p2.born RETURN p1.name AS Follower, p2.name AS Followed, p1.born AS BirthYear LIMIT 50;",[]
Who has reviewed 'Speed Racer' and what was their rating?,[],"MATCH (p:Person)-[r:REVIEWED]->(m:Movie {title: ""Speed Racer""}) RETURN p.name AS Reviewer, r.rating AS Rating, r.summary AS Summary ORDER BY Rating DESC LIMIT 20;",[]
List the first 3 movies that Keanu Reeves has acted in with their release years.,"[{""movie"": ""Johnny Mnemonic"", ""year"": 1995}, {""movie"": ""The Devil's Advocate"", ""year"": 1997}, {""movie"": ""The Matrix"", ""year"": 1999}]","MATCH (p:Person {name: ""Keanu Reeves""})-[r:ACTED_IN]->(m:Movie) RETURN m.title AS Movie, m.released AS ReleaseYear ORDER BY m.released LIMIT 3;","[{""Movie"": ""Johnny Mnemonic"", ""ReleaseYear"": 1995}, {""Movie"": ""The Devil's Advocate"", ""ReleaseYear"": 1997}, {""Movie"": ""The Matrix"", ""ReleaseYear"": 1999}]"
List the top 5 oldest movies in the database.,"[{""m.title"": ""One Flew Over the Cuckoo's Nest"", ""m.released"": 1975}, {""m.title"": ""Top Gun"", ""m.released"": 1986}, {""m.title"": ""Stand By Me"", ""m.released"": 1986}, {""m.title"": ""Joe Versus the Volcano"", ""m.released"": 1990}, {""m.title"": ""A Few Good Men"", ""m.released"": 1992}]","MATCH (m:Movie) RETURN m.title AS Movie, m.released AS Released ORDER BY m.released ASC LIMIT 5;","[{""Movie"": ""One Flew Over the Cuckoo's Nest"", ""Released"": 1975}, {""Movie"": ""Top Gun"", ""Released"": 1986}, {""Movie"": ""Stand By Me"", ""Released"": 1986}, {""Movie"": ""Joe Versus the Volcano"", ""Released"": 1990}, {""Movie"": ""A Few Good Men"", ""Released"": 1992}]"
List the top 5 youngest people who have written a movie.,"[{""p.name"": ""David Mitchell"", ""p.born"": 1969}, {""p.name"": ""Lilly Wachowski"", ""p.born"": 1967}, {""p.name"": ""Lilly Wachowski"", ""p.born"": 1967}, {""p.name"": ""Lana Wachowski"", ""p.born"": 1965}, {""p.name"": ""Lana Wachowski"", ""p.born"": 1965}]","MATCH (p:Person)-[:WROTE]->(m:Movie) RETURN p.name AS Writer, p.born AS BirthYear ORDER BY p.born DESC LIMIT 5;","[{""BirthYear"": 1969, ""Writer"": ""David Mitchell""}, {""BirthYear"": 1967, ""Writer"": ""Lilly Wachowski""}, {""BirthYear"": 1967, ""Writer"": ""Lilly Wachowski""}, {""BirthYear"": 1965, ""Writer"": ""Lana Wachowski""}, {""BirthYear"": 1965, ""Writer"": ""Lana Wachowski""}]"
Who are the top 3 actors by number of followers?,"[{""actorName"": ""Hugo Weaving"", ""followerCount"": 0}, {""actorName"": ""Laurence Fishburne"", ""followerCount"": 0}, {""actorName"": ""Emil Eifrem"", ""followerCount"": 0}]",,"""Sorry, I couldn't find an answer to your question"""
What is the name of the person who directed 'The Matrix'?,"[{""p.name"": ""Lana Wachowski""}, {""p.name"": ""Lilly Wachowski""}]","MATCH (p:Person)-[:DIRECTED]->(m:Movie {title: ""The Matrix""}) RETURN p.name AS Director LIMIT 1;","[{""Director"": ""Lana Wachowski""}]"
Which people have both acted in and reviewed the same movie?,[],"MATCH (p:Person)-[a:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-(p) RETURN p.name AS Person, m.title AS Movie, a.roles AS Roles, r.rating AS Rating, r.summary AS Summary ORDER BY m.title LIMIT 50;",[]
What are the top 5 movies with the least votes and their release years?,"[{""title"": ""Frost/Nixon"", ""release_year"": 2008, ""votes"": 1}, {""title"": ""RescueDawn"", ""release_year"": 2006, ""votes"": 13}, {""title"": ""Ninja Assassin"", ""release_year"": 2009, ""votes"": 15}, {""title"": ""The Replacements"", ""release_year"": 2000, ""votes"": 24}, {""title"": ""Charlie Wilson's War"", ""release_year"": 2007, ""votes"": 25}]","MATCH (m:Movie) RETURN m.title AS Movie, m.votes AS Votes, m.released AS ReleaseYear ORDER BY m.votes ASC LIMIT 5;","[{""Movie"": ""Frost/Nixon"", ""ReleaseYear"": 2008, ""Votes"": 1}, {""Movie"": ""RescueDawn"", ""ReleaseYear"": 2006, ""Votes"": 13}, {""Movie"": ""Ninja Assassin"", ""ReleaseYear"": 2009, ""Votes"": 15}, {""Movie"": ""The Replacements"", ""ReleaseYear"": 2000, ""Votes"": 24}, {""Movie"": ""Charlie Wilson's War"", ""ReleaseYear"": 2007, ""Votes"": 25}]"
What are the 3 newest relationships formed in the graph (any type)?,"[{""r"": [{}, ""REVIEWED"", {}], ""type(r)"": ""REVIEWED""}, {""r"": [{}, ""REVIEWED"", {}], ""type(r)"": ""REVIEWED""}, {""r"": [{}, ""REVIEWED"", {}], ""type(r)"": ""REVIEWED""}]",,"""Sorry, I couldn't find an answer to your question"""
List top 3 movies released before 1980.,"[{""m"": {""tagline"": ""If he's crazy, what does that make you?"", ""votes"": 43, ""title"": ""One Flew Over the Cuckoo's Nest"", ""released"": 1975}}]","MATCH (m:Movie) WHERE m.released < 1980 RETURN m.title AS Movie, m.released AS Released ORDER BY m.released ASC LIMIT 3;","[{""Movie"": ""One Flew Over the Cuckoo's Nest"", ""Released"": 1975}]"
Name 3 people who have the most combined roles across all their ACTED_IN movies.,"[{""PersonName"": ""Tom Hanks"", ""totalRoles"": 20}, {""PersonName"": ""Hugo Weaving"", ""totalRoles"": 10}, {""PersonName"": ""Keanu Reeves"", ""totalRoles"": 7}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WITH p, SUM(size(r.roles)) AS total_roles ORDER BY total_roles DESC RETURN p.name AS Actor, total_roles AS CombinedRoles LIMIT 3;","[{""Actor"": ""Tom Hanks"", ""CombinedRoles"": 20}, {""Actor"": ""Hugo Weaving"", ""CombinedRoles"": 10}, {""Actor"": ""Keanu Reeves"", ""CombinedRoles"": 7}]"
Find the 3 oldest movies reviewed by someone born after 1970.,[],"MATCH (m:Movie)<-[rev:REVIEWED]-(p:Person) WHERE p.born > 1970 RETURN m.title AS Movie, m.released AS Released ORDER BY m.released ASC LIMIT 3;",[]
Who are the first three actors who acted in more than three movies with a tagline containing the word 'limit'?,[],"MATCH (p:Person)-[:ACTED_IN]->(m:Movie) WHERE toLower(m.tagline) CONTAINS ""limit"" WITH p, COUNT(m) AS movie_count WHERE movie_count > 3 RETURN p.name AS Actor, movie_count AS MoviesCount ORDER BY movie_count DESC LIMIT 3;",[]
"Who has produced, directed, and acted in the most movies?",[],"MATCH (p:Person) OPTIONAL MATCH (p)-[:PRODUCED]->(m:Movie) WITH p, COUNT(DISTINCT m) AS produced_count OPTIONAL MATCH (p)-[:DIRECTED]->(m2:Movie) WITH p, produced_count, COUNT(DISTINCT m2) AS directed_count OPTIONAL MATCH (p)-[:ACTED_IN]->(m3:Movie) WITH p, produced_count, directed_count, COUNT(DISTINCT m3) AS acted_count RETURN p.name AS Person, (produced_count + directed_count + acted_count) AS TotalMovies, produced_count AS ProducedMovies, directed_count AS DirectedMovies, acted_count AS ActedMovies ORDER BY TotalMovies DESC LIMIT 1;","[{""ActedMovies"": 12, ""DirectedMovies"": 1, ""Person"": ""Tom Hanks"", ""ProducedMovies"": 0, ""TotalMovies"": 13}]"
Show the first 3 movies with the most complex role lists in the 'ACTED_IN' relationship.,"[{""movie_title"": ""Cloud Atlas"", ""role_count"": 6}, {""movie_title"": ""The Polar Express"", ""role_count"": 6}, {""movie_title"": ""Cloud Atlas"", ""role_count"": 4}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WITH m, r, SIZE(r.roles) AS role_count ORDER BY role_count DESC RETURN m.title AS Movie, role_count AS RoleCount, r.roles AS Roles LIMIT 3;","[{""Movie"": ""Cloud Atlas"", ""RoleCount"": 6, ""Roles"": [""Bill Smoke"", ""Haskell Moore"", ""Tadeusz Kesselring"", ""Nurse Noakes"", ""Boardman Mephi"", ""Old Georgie""]}, {""Movie"": ""The Polar Express"", ""RoleCount"": 6, ""Roles"": [""Hero Boy"", ""Father"", ""Conductor"", ""Hobo"", ""Scrooge"", ""Santa Claus""]}, {""Movie"": ""Cloud Atlas"", ""RoleCount"": 4, ""Roles"": [""Zachry"", ""Dr. Henry Goose"", ""Isaac Sachs"", ""Dermot Hoggins""]}]"
List the roles of actors in the 3 movies with the highest number of actors involved.,"[{""movieTitle"": ""A Few Good Men"", ""actorName"": ""James Marshall"", ""roles"": [""Pfc. Louden Downey""]}, {""movieTitle"": ""A Few Good Men"", ""actorName"": ""Kevin Pollak"", ""roles"": [""Lt. Sam Weinberg""]}, {""movieTitle"": ""A Few Good Men"", ""actorName"": ""J.T. Walsh"", ""roles"": [""Lt. Col. Matthew Andrew Markinson""]}, {""movieTitle"": ""A Few Good Men"", ""actorName"": ""Aaron Sorkin"", ""roles"": [""Man in Bar""]}, {""movieTitle"": ""A Few Good Men"", ""actorName"": ""Cuba Gooding Jr."", ""roles"": [""Cpl. Carl Hammaker""]}, {""movieTitle"": ""A Few Good Men"", ""actorName"": ""Christopher Guest"", ""roles"": [""Dr. Stone""]}, {""movieTitle"": ""A Few Good Men"", ""actorName"": ""Noah Wyle"", ""roles"": [""Cpl. Jeffrey Barnes""]}, {""movieTitle"": ""A Few Good Men"", ""actorName"": ""Kiefer Sutherland"", ""roles"": [""Lt. Jonathan Kendrick""]}, {""movieTitle"": ""A Few Good Men"", ""actorName"": ""Kevin Bacon"", ""roles"": [""Capt. Jack Ross""]}, {""movieTitle"": ""A Few Good Men"", ""actorName"": ""Demi Moore"", ""roles"": [""Lt. Cdr. JoAnne Galloway""]}, {""movieTitle"": ""A Few Good Men"", ""actorName"": ""Jack Nicholson"", ""roles"": [""Col. Nathan R. Jessup""]}, {""movieTitle"": ""A Few Good Men"", ""actorName"": ""Tom Cruise"", ""roles"": [""Lt. Daniel Kaffee""]}, {""movieTitle"": ""Jerry Maguire"", ""actorName"": ""Jerry O'Connell"", ""roles"": [""Frank Cushman""]}, {""movieTitle"": ""Jerry Maguire"", ""actorName"": ""Bonnie Hunt"", ""roles"": [""Laurel Boyd""]}, {""movieTitle"": ""Jerry Maguire"", ""actorName"": ""Jay Mohr"", ""roles"": [""Bob Sugar""]}, {""movieTitle"": ""Jerry Maguire"", ""actorName"": ""Cuba Gooding Jr."", ""roles"": [""Rod Tidwell""]}, {""movieTitle"": ""Jerry Maguire"", ""actorName"": ""Jonathan Lipnicki"", ""roles"": [""Ray Boyd""]}, {""movieTitle"": ""Jerry Maguire"", ""actorName"": ""Renee Zellweger"", ""roles"": [""Dorothy Boyd""]}, {""movieTitle"": ""Jerry Maguire"", ""actorName"": ""Kelly Preston"", ""roles"": [""Avery Bishop""]}, {""movieTitle"": ""Jerry Maguire"", ""actorName"": ""Regina King"", ""roles"": [""Marcee Tidwell""]}, {""movieTitle"": ""Jerry Maguire"", ""actorName"": ""Tom Cruise"", ""roles"": [""Jerry Maguire""]}, {""movieTitle"": ""The Green Mile"", ""actorName"": ""Sam Rockwell"", ""roles"": [""\""Wild Bill\"" Wharton""]}, {""movieTitle"": ""The Green Mile"", ""actorName"": ""Bonnie Hunt"", ""roles"": [""Jan Edgecomb""]}, {""movieTitle"": ""The Green Mile"", ""actorName"": ""Patricia Clarkson"", ""roles"": [""Melinda Moores""]}, {""movieTitle"": ""The Green Mile"", ""actorName"": ""James Cromwell"", ""roles"": [""Warden Hal Moores""]}, {""movieTitle"": ""The Green Mile"", ""actorName"": ""Tom Hanks"", ""roles"": [""Paul Edgecomb""]}, {""movieTitle"": ""The Green Mile"", ""actorName"": ""Michael Clarke Duncan"", ""roles"": [""John Coffey""]}, {""movieTitle"": ""The Green Mile"", ""actorName"": ""David Morse"", ""roles"": [""Brutus \""Brutal\"" Howell""]}, {""movieTitle"": ""The Green Mile"", ""actorName"": ""Gary Sinise"", ""roles"": [""Burt Hammersmith""]}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WITH m, COUNT(p) AS actor_count ORDER BY actor_count DESC LIMIT 3 OPTIONAL MATCH (p)-[r2:ACTED_IN]->(m) RETURN m.title AS Movie, COLLECT({actor: p.name, roles: r2.roles}) AS ActorsRoles LIMIT 50;","[{""ActorsRoles"": [{""actor"": ""James Marshall"", ""roles"": [""Pfc. Louden Downey""]}, {""actor"": ""Kevin Pollak"", ""roles"": [""Lt. Sam Weinberg""]}, {""actor"": ""J.T. Walsh"", ""roles"": [""Lt. Col. Matthew Andrew Markinson""]}, {""actor"": ""Aaron Sorkin"", ""roles"": [""Man in Bar""]}, {""actor"": ""Cuba Gooding Jr."", ""roles"": [""Cpl. Carl Hammaker""]}, {""actor"": ""Christopher Guest"", ""roles"": [""Dr. Stone""]}, {""actor"": ""Noah Wyle"", ""roles"": [""Cpl. Jeffrey Barnes""]}, {""actor"": ""Kiefer Sutherland"", ""roles"": [""Lt. Jonathan Kendrick""]}, {""actor"": ""Kevin Bacon"", ""roles"": [""Capt. Jack Ross""]}, {""actor"": ""Demi Moore"", ""roles"": [""Lt. Cdr. JoAnne Galloway""]}, {""actor"": ""Jack Nicholson"", ""roles"": [""Col. Nathan R. Jessup""]}, {""actor"": ""Tom Cruise"", ""roles"": [""Lt. Daniel Kaffee""]}], ""Movie"": ""A Few Good Men""}, {""ActorsRoles"": [{""actor"": ""Jerry O'Connell"", ""roles"": [""Frank Cushman""]}, {""actor"": ""Bonnie Hunt"", ""roles"": [""Laurel Boyd""]}, {""actor"": ""Jay Mohr"", ""roles"": [""Bob Sugar""]}, {""actor"": ""Cuba Gooding Jr."", ""roles"": [""Rod Tidwell""]}, {""actor"": ""Jonathan Lipnicki"", ""roles"": [""Ray Boyd""]}, {""actor"": ""Renee Zellweger"", ""roles"": [""Dorothy Boyd""]}, {""actor"": ""Kelly Preston"", ""roles"": [""Avery Bishop""]}, {""actor"": ""Regina King"", ""roles"": [""Marcee Tidwell""]}, {""actor"": ""Tom Cruise"", ""roles"": [""Jerry Maguire""]}], ""Movie"": ""Jerry Maguire""}, {""ActorsRoles"": [{""actor"": ""Sam Rockwell"", ""roles"": [""\""Wild Bill\"" Wharton""]}, {""actor"": ""Bonnie Hunt"", ""roles"": [""Jan Edgecomb""]}, {""actor"": ""Patricia Clarkson"", ""roles"": [""Melinda Moores""]}, {""actor"": ""James Cromwell"", ""roles"": [""Warden Hal Moores""]}, {""actor"": ""Tom Hanks"", ""roles"": [""Paul Edgecomb""]}, {""actor"": ""Michael Clarke Duncan"", ""roles"": [""John Coffey""]}, {""actor"": ""David Morse"", ""roles"": [""Brutus \""Brutal\"" Howell""]}, {""actor"": ""Gary Sinise"", ""roles"": [""Burt Hammersmith""]}], ""Movie"": ""The Green Mile""}]"
Who are the people who have reviewed the most movies?,"[{""reviewerName"": ""Jessica Thompson"", ""reviewCount"": 6}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WITH p, COUNT(m) AS movie_count RETURN p.name AS Reviewer, movie_count AS MoviesReviewed ORDER BY movie_count DESC LIMIT 50;","[{""MoviesReviewed"": 6, ""Reviewer"": ""Jessica Thompson""}, {""MoviesReviewed"": 2, ""Reviewer"": ""James Thompson""}, {""MoviesReviewed"": 1, ""Reviewer"": ""Angela Scope""}]"
List the movies directed by persons born after 1960.,"[{""m.title"": ""Speed Racer""}, {""m.title"": ""Cloud Atlas""}, {""m.title"": ""The Matrix Revolutions""}, {""m.title"": ""The Matrix Reloaded""}, {""m.title"": ""The Matrix""}, {""m.title"": ""Cloud Atlas""}, {""m.title"": ""Speed Racer""}, {""m.title"": ""Cloud Atlas""}, {""m.title"": ""The Matrix Revolutions""}, {""m.title"": ""The Matrix Reloaded""}, {""m.title"": ""The Matrix""}, {""m.title"": ""Ninja Assassin""}, {""m.title"": ""V for Vendetta""}]","MATCH (p:Person) WHERE p.born > 1960 MATCH (p)-[r:DIRECTED]->(m:Movie) RETURN p.name AS Director, m.title AS Movie ORDER BY m.title LIMIT 50;","[{""Director"": ""Lana Wachowski"", ""Movie"": ""Cloud Atlas""}, {""Director"": ""Tom Tykwer"", ""Movie"": ""Cloud Atlas""}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""Cloud Atlas""}, {""Director"": ""James Marshall"", ""Movie"": ""Ninja Assassin""}, {""Director"": ""Lana Wachowski"", ""Movie"": ""Speed Racer""}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""Speed Racer""}, {""Director"": ""Lana Wachowski"", ""Movie"": ""The Matrix""}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""The Matrix""}, {""Director"": ""Lana Wachowski"", ""Movie"": ""The Matrix Reloaded""}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""The Matrix Reloaded""}, {""Director"": ""Lana Wachowski"", ""Movie"": ""The Matrix Revolutions""}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""The Matrix Revolutions""}, {""Director"": ""James Marshall"", ""Movie"": ""V for Vendetta""}]"
What are the roles of actors in the movie titled 'Speed Racer'?,"[{""p.name"": ""Emile Hirsch"", ""r.roles"": [""Speed Racer""]}, {""p.name"": ""Rain"", ""r.roles"": [""Taejo Togokahn""]}, {""p.name"": ""Christina Ricci"", ""r.roles"": [""Trixie""]}, {""p.name"": ""Ben Miles"", ""r.roles"": [""Cass Jones""]}, {""p.name"": ""Susan Sarandon"", ""r.roles"": [""Mom""]}, {""p.name"": ""John Goodman"", ""r.roles"": [""Pops""]}, {""p.name"": ""Matthew Fox"", ""r.roles"": [""Racer X""]}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie {title: ""Speed Racer""}) RETURN p.name AS Actor, r.roles AS Roles LIMIT 50;","[{""Actor"": ""Emile Hirsch"", ""Roles"": [""Speed Racer""]}, {""Actor"": ""Rain"", ""Roles"": [""Taejo Togokahn""]}, {""Actor"": ""Christina Ricci"", ""Roles"": [""Trixie""]}, {""Actor"": ""Ben Miles"", ""Roles"": [""Cass Jones""]}, {""Actor"": ""Susan Sarandon"", ""Roles"": [""Mom""]}, {""Actor"": ""John Goodman"", ""Roles"": [""Pops""]}, {""Actor"": ""Matthew Fox"", ""Roles"": [""Racer X""]}]"
What are the top 3 least voted for movies in the database?,"[{""m.title"": ""Frost/Nixon"", ""m.votes"": 1}, {""m.title"": ""RescueDawn"", ""m.votes"": 13}, {""m.title"": ""Ninja Assassin"", ""m.votes"": 15}]","MATCH (m:Movie) ORDER BY m.votes ASC RETURN m.title AS Movie, m.votes AS Votes LIMIT 3;","[{""Movie"": ""Frost/Nixon"", ""Votes"": 1}, {""Movie"": ""RescueDawn"", ""Votes"": 13}, {""Movie"": ""Ninja Assassin"", ""Votes"": 15}]"
What are the top 3 movies with the most distinct actors in the ACTED_IN relationship?,"[{""movieTitle"": ""A Few Good Men"", ""actorCount"": 12}, {""movieTitle"": ""Jerry Maguire"", ""actorCount"": 9}, {""movieTitle"": ""The Green Mile"", ""actorCount"": 8}]","MATCH (p:Person)-[:ACTED_IN]->(m:Movie) WITH m, COUNT(DISTINCT p) AS actor_count ORDER BY actor_count DESC RETURN m.title AS Movie, actor_count AS DistinctActors LIMIT 3;","[{""DistinctActors"": 12, ""Movie"": ""A Few Good Men""}, {""DistinctActors"": 9, ""Movie"": ""Jerry Maguire""}, {""DistinctActors"": 8, ""Movie"": ""The Green Mile""}]"
Who are the first 3 people to review a movie with a summary 'Pretty funny at times'?,"[{""p.name"": ""Angela Scope""}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE toLower(r.summary) = ""pretty funny at times"" RETURN p.name AS Reviewer, m.title AS Movie, r.rating AS Rating, r.summary AS Summary ORDER BY p.name LIMIT 3;","[{""Movie"": ""The Replacements"", ""Rating"": 62, ""Reviewer"": ""Angela Scope"", ""Summary"": ""Pretty funny at times""}]"
List 3 movies that have been reviewed with a summary mentioning 'funny'.,"[{""m.title"": ""The Replacements""}]","MATCH (m:Movie)<-[r:REVIEWED]-(p:Person) WHERE toLower(r.summary) CONTAINS ""funny"" RETURN m.title AS Movie, r.summary AS Summary, p.name AS Reviewer ORDER BY m.title LIMIT 3;","[{""Movie"": ""The Replacements"", ""Reviewer"": ""Angela Scope"", ""Summary"": ""Pretty funny at times""}]"
"What is the average rating for movies with ""The Matrix"" in the title?","[{""avg(r.rating)"": null}]","MATCH (m:Movie) WHERE toLower(m.title) CONTAINS ""the matrix"" OPTIONAL MATCH (p:Person)-[r:REVIEWED]->(m) RETURN AVG(r.rating) AS AverageRating LIMIT 1;","[{""AverageRating"": null}]"
Find all movies where the director is also listed as an actor.,"[{""m.title"": ""That Thing You Do""}, {""m.title"": ""Unforgiven""}, {""m.title"": ""Hoffa""}]","MATCH (d:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(d) RETURN d.name AS Director, m.title AS Movie ORDER BY m.title LIMIT 50;","[{""Director"": ""Danny DeVito"", ""Movie"": ""Hoffa""}, {""Director"": ""Tom Hanks"", ""Movie"": ""That Thing You Do""}, {""Director"": ""Clint Eastwood"", ""Movie"": ""Unforgiven""}]"
List the movies where Joel Silver has a production role.,"[{""MovieTitle"": ""Speed Racer"", ""ReleaseYear"": 2008}, {""MovieTitle"": ""V for Vendetta"", ""ReleaseYear"": 2006}, {""MovieTitle"": ""Ninja Assassin"", ""ReleaseYear"": 2009}, {""MovieTitle"": ""The Matrix Revolutions"", ""ReleaseYear"": 2003}, {""MovieTitle"": ""The Matrix Reloaded"", ""ReleaseYear"": 2003}, {""MovieTitle"": ""The Matrix"", ""ReleaseYear"": 1999}]","MATCH (p:Person {name: ""Joel Silver""})-[r:PRODUCED]->(m:Movie) RETURN m.title AS Movie, m.released AS Released, m.votes AS Votes, m.tagline AS Tagline ORDER BY m.released DESC LIMIT 50;","[{""Movie"": ""Ninja Assassin"", ""Released"": 2009, ""Tagline"": ""Prepare to enter a secret world of assassins"", ""Votes"": 15}, {""Movie"": ""Speed Racer"", ""Released"": 2008, ""Tagline"": ""Speed has no limits"", ""Votes"": 30}, {""Movie"": ""V for Vendetta"", ""Released"": 2006, ""Tagline"": ""Freedom! Forever!"", ""Votes"": 29}, {""Movie"": ""The Matrix Revolutions"", ""Released"": 2003, ""Tagline"": ""Everything that has a beginning has an end"", ""Votes"": 1577}, {""Movie"": ""The Matrix Reloaded"", ""Released"": 2003, ""Tagline"": ""Free your mind"", ""Votes"": 1906}, {""Movie"": ""The Matrix"", ""Released"": 1999, ""Tagline"": ""Welcome to the Real World"", ""Votes"": 165}]"
Which movie has the most roles in the 'ACTED_IN' relationship and what are those roles?,"[{""Movie"": ""Cloud Atlas"", ""Roles"": [""Bill Smoke"", ""Haskell Moore"", ""Tadeusz Kesselring"", ""Nurse Noakes"", ""Boardman Mephi"", ""Old Georgie""]}]",,"""Sorry, I couldn't find an answer to your question"""
Who reviewed the movie with the highest rating and what was the summary?,"[{""reviewer"": ""James Thompson"", ""review_summary"": ""The coolest football movie ever""}]","MATCH (m:Movie) WITH m ORDER BY m.votes DESC LIMIT 1 OPTIONAL MATCH (p:Person)-[r:REVIEWED]->(m) RETURN p.name AS Reviewer, r.summary AS Summary, r.rating AS Rating LIMIT 50;","[{""Rating"": null, ""Reviewer"": null, ""Summary"": null}]"
Who are the top 3 reviewers by average rating given?,"[{""reviewer"": ""James Thompson"", ""avg_rating"": 82.5}, {""reviewer"": ""Jessica Thompson"", ""avg_rating"": 75.0}, {""reviewer"": ""Angela Scope"", ""avg_rating"": 62.0}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WITH p, AVG(r.rating) AS average_rating RETURN p.name AS Reviewer, average_rating ORDER BY average_rating DESC LIMIT 3;","[{""Reviewer"": ""James Thompson"", ""average_rating"": 82.5}, {""Reviewer"": ""Jessica Thompson"", ""average_rating"": 75.0}, {""Reviewer"": ""Angela Scope"", ""average_rating"": 62.0}]"
Find all people who have both produced and directed movies.,"[{""p.name"": ""Cameron Crowe""}, {""p.name"": ""Nora Ephron""}, {""p.name"": ""Rob Reiner""}, {""p.name"": ""Lana Wachowski""}, {""p.name"": ""Lilly Wachowski""}, {""p.name"": ""Nancy Meyers""}]",MATCH (p:Person) WHERE EXISTS((p)-[:DIRECTED]->(:Movie)) AND EXISTS((p)-[:PRODUCED]->(:Movie)) RETURN p.name AS Person LIMIT 50;,"[{""Person"": ""Lilly Wachowski""}, {""Person"": ""Lana Wachowski""}, {""Person"": ""Rob Reiner""}, {""Person"": ""Cameron Crowe""}, {""Person"": ""Nora Ephron""}, {""Person"": ""Nancy Meyers""}]"
What is the average rating for movies with a tagline longer than 20 characters?,"[{""average_rating"": 83.16666666666666}]",MATCH (m:Movie) WHERE size(m.tagline) > 20 WITH AVG(m.votes) AS AverageRating RETURN AverageRating LIMIT 1;,"[{""AverageRating"": 154.68750000000003}]"
"Find the movie with the highest number of votes that has the word ""Welcome"" in its tagline.","[{""m.title"": ""The Matrix"", ""m.votes"": 153}]","MATCH (m:Movie) WHERE toLower(m.tagline) CONTAINS ""welcome"" RETURN m.title AS Movie, m.votes AS Votes ORDER BY m.votes DESC LIMIT 1;","[{""Movie"": ""The Matrix"", ""Votes"": 165}]"
List the movies released between 1990 and 2000 with a rating higher than 80.,"[{""m.title"": ""Jerry Maguire""}, {""m.title"": ""The Replacements""}, {""m.title"": ""Unforgiven""}]","MATCH (m:Movie) WHERE m.released >= 1990 AND m.released <= 2000 AND m.votes > 80 RETURN m.title AS Movie, m.released AS Released, m.votes AS Votes ORDER BY m.released LIMIT 50;","[{""Movie"": ""Joe Versus the Volcano"", ""Released"": 1990, ""Votes"": 111}, {""Movie"": ""A Few Good Men"", ""Released"": 1992, ""Votes"": 485}, {""Movie"": ""Apollo 13"", ""Released"": 1995, ""Votes"": 214}, {""Movie"": ""The Devil's Advocate"", ""Released"": 1997, ""Votes"": 249}, {""Movie"": ""As Good as It Gets"", ""Released"": 1997, ""Votes"": 123}, {""Movie"": ""The Matrix"", ""Released"": 1999, ""Votes"": 165}, {""Movie"": ""Bicentennial Man"", ""Released"": 1999, ""Votes"": 123}, {""Movie"": ""Jerry Maguire"", ""Released"": 2000, ""Votes"": 155}, {""Movie"": ""Cast Away"", ""Released"": 2000, ""Votes"": 108}]"
