question,original_result,generated_cypher,generated_result
What is the average unit price of products ordered by customers who have placed more than 5 orders?,"[{""averageUnitPrice"": 27.70828246249355}]","MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[r:ORDERS]->(p:Product) WITH c, COUNT(o) AS orderCount, AVG(p.unitPrice) AS averageUnitPrice WHERE orderCount > 5 RETURN c.companyName AS Customer, averageUnitPrice LIMIT 50;","[{""Customer"": ""Alfreds Futterkiste"", ""averageUnitPrice"": 26.7375}, {""Customer"": ""Ana Trujillo Emparedados y helados"", ""averageUnitPrice"": 22.525000000000002}, {""Customer"": ""Antonio Moreno Taquer\u00eda"", ""averageUnitPrice"": 21.966470588235296}, {""Customer"": ""Around the Horn"", ""averageUnitPrice"": 19.923333333333336}, {""Customer"": ""Berglunds snabbk\u00f6p"", ""averageUnitPrice"": 28.990000000000002}, {""Customer"": ""Blauer See Delikatessen"", ""averageUnitPrice"": 24.78928571428571}, {""Customer"": ""Blondesddsl p\u00e8re et fils"", ""averageUnitPrice"": 38.38807692307694}, {""Customer"": ""B\u00f3lido Comidas preparadas"", ""averageUnitPrice"": 36.50666666666667}, {""Customer"": ""Bon app'"", ""averageUnitPrice"": 25.512500000000003}, {""Customer"": ""Bottom-Dollar Markets"", ""averageUnitPrice"": 27.28285714285714}, {""Customer"": ""B's Beverages"", ""averageUnitPrice"": 24.443181818181817}, {""Customer"": ""Cactus Comidas para llevar"", ""averageUnitPrice"": 17.954545454545453}, {""Customer"": ""Chop-suey Chinese"", ""averageUnitPrice"": 28.597727272727276}, {""Customer"": ""Com\u00e9rcio Mineiro"", ""averageUnitPrice"": 30.909}, {""Customer"": ""Consolidated Holdings"", ""averageUnitPrice"": 29.735714285714288}, {""Customer"": ""Drachenblut Delikatessen"", ""averageUnitPrice"": 19.993000000000002}, {""Customer"": ""Du monde entier"", ""averageUnitPrice"": 19.85}, {""Customer"": ""Eastern Connection"", ""averageUnitPrice"": 29.5052380952381}, {""Customer"": ""Ernst Handel"", ""averageUnitPrice"": 28.346568627450985}, {""Customer"": ""Familia Arquibaldo"", ""averageUnitPrice"": 13.836315789473684}, {""Customer"": ""Folies gourmandes"", ""averageUnitPrice"": 29.556250000000002}, {""Customer"": ""Folk och f\u00e4 HB"", ""averageUnitPrice"": 24.412888888888897}, {""Customer"": ""Frankenversand"", ""averageUnitPrice"": 22.237708333333337}, {""Customer"": ""France restauration"", ""averageUnitPrice"": 47.098333333333336}, {""Customer"": ""Franchi S.p.A."", ""averageUnitPrice"": 25.032999999999998}, {""Customer"": ""Furia Bacalhau e Frutos do Mar"", ""averageUnitPrice"": 24.1325}, {""Customer"": ""Galer\u00eda del gastr\u00f3nomo"", ""averageUnitPrice"": 22.225}, {""Customer"": ""Godos Cocina T\u00edpica"", ""averageUnitPrice"": 27.789999999999996}, {""Customer"": ""Gourmet Lanchonetes"", ""averageUnitPrice"": 26.325263157894735}, {""Customer"": ""Great Lakes Food Market"", ""averageUnitPrice"": 49.61545454545454}, {""Customer"": ""Hanari Carnes"", ""averageUnitPrice"": 44.46875}, {""Customer"": ""HILARION-Abastos"", ""averageUnitPrice"": 22.254888888888885}, {""Customer"": ""Hungry Coyote Import Store"", ""averageUnitPrice"": 25.66111111111111}, {""Customer"": ""Hungry Owl All-Night Grocers"", ""averageUnitPrice"": 33.41727272727273}, {""Customer"": ""Island Trading"", ""averageUnitPrice"": 22.510869565217387}, {""Customer"": ""K\u00f6niglich Essen"", ""averageUnitPrice"": 33.08923076923077}, {""Customer"": ""La corne d'abondance"", ""averageUnitPrice"": 25.911818181818184}, {""Customer"": ""La maison d'Asie"", ""averageUnitPrice"": 23.351290322580642}, {""Customer"": ""Laughing Bacchus Wine Cellars"", ""averageUnitPrice"": 9.76875}, {""Customer"": ""Lehmanns Marktstand"", ""averageUnitPrice"": 27.9048717948718}, {""Customer"": ""Let's Stop N Shop"", ""averageUnitPrice"": 22.964}, {""Customer"": ""LILA-Supermercado"", ""averageUnitPrice"": 23.16294117647059}, {""Customer"": ""LINO-Delicateses"", ""averageUnitPrice"": 18.491428571428575}, {""Customer"": ""Lonesome Pine Restaurant"", ""averageUnitPrice"": 32.40714285714286}, {""Customer"": ""Magazzini Alimentari Riuniti"", ""averageUnitPrice"": 20.18714285714286}, {""Customer"": ""Maison Dewey"", ""averageUnitPrice"": 29.19882352941176}, {""Customer"": ""M\u00e8re Paillarde"", ""averageUnitPrice"": 33.51562500000001}, {""Customer"": ""Morgenstern Gesundkost"", ""averageUnitPrice"": 31.03181818181818}, {""Customer"": ""North/South"", ""averageUnitPrice"": 24.333333333333332}, {""Customer"": ""Oc\u00e9ano Atl\u00e1ntico Ltda."", ""averageUnitPrice"": 28.49090909090909}]"
Which products have a unit price greater than $75 and are in the 'Confections' category?,"[{""p.productName"": ""Sir Rodney's Marmalade"", ""p.unitPrice"": 81.0}]","MATCH (p:Product)-[:PART_OF]->(cat:Category {categoryName: ""Confections""}) WHERE p.unitPrice > 75 RETURN p.productName AS Product, p.unitPrice AS UnitPrice LIMIT 50;","[{""Product"": ""Sir Rodney's Marmalade"", ""UnitPrice"": 81.0}]"
List all products that have a unit price greater than the average unit price of products supplied by supplier '1'.,"[{""p.productName"": ""Chai""}, {""p.productName"": ""Chang""}, {""p.productName"": ""Chef Anton's Cajun Seasoning""}, {""p.productName"": ""Chef Anton's Gumbo Mix""}, {""p.productName"": ""Grandma's Boysenberry Spread""}, {""p.productName"": ""Uncle Bob's Organic Dried Pears""}, {""p.productName"": ""Northwoods Cranberry Sauce""}, {""p.productName"": ""Mishi Kobe Niku""}, {""p.productName"": ""Ikura""}, {""p.productName"": ""Queso Cabrales""}, {""p.productName"": ""Queso Manchego La Pastora""}, {""p.productName"": ""Tofu""}, {""p.productName"": ""Pavlova""}, {""p.productName"": ""Alice Mutton""}, {""p.productName"": ""Carnarvon Tigers""}, {""p.productName"": ""Sir Rodney's Marmalade""}, {""p.productName"": ""Gustaf's Kn\u00e4ckebr\u00f6d""}, {""p.productName"": ""Gumb\u00e4r Gummib\u00e4rchen""}, {""p.productName"": ""Schoggi Schokolade""}, {""p.productName"": ""R\u00f6ssle Sauerkraut""}, {""p.productName"": ""Th\u00fcringer Rostbratwurst""}, {""p.productName"": ""Nord-Ost Matjeshering""}, {""p.productName"": ""Mascarpone Fabioli""}, {""p.productName"": ""Steeleye Stout""}, {""p.productName"": ""Inlagd Sill""}, {""p.productName"": ""Gravad lax""}, {""p.productName"": ""C\u00f4te de Blaye""}, {""p.productName"": ""Chartreuse verte""}, {""p.productName"": ""Boston Crab Meat""}, {""p.productName"": ""Ipoh Coffee""}, {""p.productName"": ""Gula Malacca""}, {""p.productName"": ""Maxilaku""}, {""p.productName"": ""Valkoinen suklaa""}, {""p.productName"": ""Manjimup Dried Apples""}, {""p.productName"": ""Perth Pasties""}, {""p.productName"": ""P\u00e2t\u00e9 chinois""}, {""p.productName"": ""Gnocchi di nonna Alice""}, {""p.productName"": ""Ravioli Angelo""}, {""p.productName"": ""Raclette Courdavault""}, {""p.productName"": ""Camembert Pierrot""}, {""p.productName"": ""Sirop d'\u00e9rable""}, {""p.productName"": ""Tarte au sucre""}, {""p.productName"": ""Vegie-spread""}, {""p.productName"": ""Wimmers gute Semmelkn\u00f6del""}, {""p.productName"": ""Louisiana Fiery Hot Pepper Sauce""}, {""p.productName"": ""Louisiana Hot Spiced Okra""}, {""p.productName"": ""Gudbrandsdalsost""}, {""p.productName"": ""Flotemysost""}, {""p.productName"": ""Mozzarella di Giovanni""}, {""p.productName"": ""Lakkalik\u00f6\u00f6ri""}]","MATCH (s:Supplier {supplierID: ""1""})-[:SUPPLIES]->(p:Product) WITH AVG(p.unitPrice) AS averageUnitPrice MATCH (p:Product) WHERE p.unitPrice > averageUnitPrice RETURN p.productName AS Product, p.unitPrice AS UnitPrice LIMIT 50;","[{""Product"": ""Chai"", ""UnitPrice"": 18.0}, {""Product"": ""Chang"", ""UnitPrice"": 19.0}, {""Product"": ""Chef Anton's Cajun Seasoning"", ""UnitPrice"": 22.0}, {""Product"": ""Chef Anton's Gumbo Mix"", ""UnitPrice"": 21.35}, {""Product"": ""Grandma's Boysenberry Spread"", ""UnitPrice"": 25.0}, {""Product"": ""Uncle Bob's Organic Dried Pears"", ""UnitPrice"": 30.0}, {""Product"": ""Northwoods Cranberry Sauce"", ""UnitPrice"": 40.0}, {""Product"": ""Mishi Kobe Niku"", ""UnitPrice"": 97.0}, {""Product"": ""Ikura"", ""UnitPrice"": 31.0}, {""Product"": ""Queso Cabrales"", ""UnitPrice"": 21.0}, {""Product"": ""Queso Manchego La Pastora"", ""UnitPrice"": 38.0}, {""Product"": ""Tofu"", ""UnitPrice"": 23.25}, {""Product"": ""Pavlova"", ""UnitPrice"": 17.45}, {""Product"": ""Alice Mutton"", ""UnitPrice"": 39.0}, {""Product"": ""Carnarvon Tigers"", ""UnitPrice"": 62.5}, {""Product"": ""Sir Rodney's Marmalade"", ""UnitPrice"": 81.0}, {""Product"": ""Gustaf's Kn\u00e4ckebr\u00f6d"", ""UnitPrice"": 21.0}, {""Product"": ""Gumb\u00e4r Gummib\u00e4rchen"", ""UnitPrice"": 31.23}, {""Product"": ""Schoggi Schokolade"", ""UnitPrice"": 43.9}, {""Product"": ""R\u00f6ssle Sauerkraut"", ""UnitPrice"": 45.6}, {""Product"": ""Th\u00fcringer Rostbratwurst"", ""UnitPrice"": 123.79}, {""Product"": ""Nord-Ost Matjeshering"", ""UnitPrice"": 25.89}, {""Product"": ""Mascarpone Fabioli"", ""UnitPrice"": 32.0}, {""Product"": ""Steeleye Stout"", ""UnitPrice"": 18.0}, {""Product"": ""Inlagd Sill"", ""UnitPrice"": 19.0}, {""Product"": ""Gravad lax"", ""UnitPrice"": 26.0}, {""Product"": ""C\u00f4te de Blaye"", ""UnitPrice"": 263.5}, {""Product"": ""Chartreuse verte"", ""UnitPrice"": 18.0}, {""Product"": ""Boston Crab Meat"", ""UnitPrice"": 18.4}, {""Product"": ""Ipoh Coffee"", ""UnitPrice"": 46.0}, {""Product"": ""Gula Malacca"", ""UnitPrice"": 19.45}, {""Product"": ""Maxilaku"", ""UnitPrice"": 20.0}, {""Product"": ""Valkoinen suklaa"", ""UnitPrice"": 16.25}, {""Product"": ""Manjimup Dried Apples"", ""UnitPrice"": 53.0}, {""Product"": ""Perth Pasties"", ""UnitPrice"": 32.8}, {""Product"": ""P\u00e2t\u00e9 chinois"", ""UnitPrice"": 24.0}, {""Product"": ""Gnocchi di nonna Alice"", ""UnitPrice"": 38.0}, {""Product"": ""Ravioli Angelo"", ""UnitPrice"": 19.5}, {""Product"": ""Raclette Courdavault"", ""UnitPrice"": 55.0}, {""Product"": ""Camembert Pierrot"", ""UnitPrice"": 34.0}, {""Product"": ""Sirop d'\u00e9rable"", ""UnitPrice"": 28.5}, {""Product"": ""Tarte au sucre"", ""UnitPrice"": 49.3}, {""Product"": ""Vegie-spread"", ""UnitPrice"": 43.9}, {""Product"": ""Wimmers gute Semmelkn\u00f6del"", ""UnitPrice"": 33.25}, {""Product"": ""Louisiana Fiery Hot Pepper Sauce"", ""UnitPrice"": 21.05}, {""Product"": ""Louisiana Hot Spiced Okra"", ""UnitPrice"": 17.0}, {""Product"": ""Gudbrandsdalsost"", ""UnitPrice"": 36.0}, {""Product"": ""Flotemysost"", ""UnitPrice"": 21.5}, {""Product"": ""Mozzarella di Giovanni"", ""UnitPrice"": 34.8}, {""Product"": ""Lakkalik\u00f6\u00f6ri"", ""UnitPrice"": 18.0}]"
What is the total revenue generated by orders shipped via 'Speedy Express'?,"[{""totalRevenue"": 373983.1899999999}]","MATCH (o:Order {shipVia: ""Speedy Express""})-[r:ORDERS]->(p:Product) WITH SUM(r.quantity * p.unitPrice) AS totalRevenue RETURN totalRevenue AS TotalRevenueGenerated;","[{""TotalRevenueGenerated"": 0}]"
What are the top 3 most expensive products in the 'Dairy Products' category?,"[{""p.productName"": ""Raclette Courdavault"", ""p.unitPrice"": 55.0}, {""p.productName"": ""Queso Manchego La Pastora"", ""p.unitPrice"": 38.0}, {""p.productName"": ""Gudbrandsdalsost"", ""p.unitPrice"": 36.0}]","MATCH (p:Product)-[:PART_OF]->(c:Category {categoryName: ""Dairy Products""}) RETURN p.productName AS Product, p.unitPrice AS Price ORDER BY Price DESC LIMIT 3;","[{""Price"": 55.0, ""Product"": ""Raclette Courdavault""}, {""Price"": 38.0, ""Product"": ""Queso Manchego La Pastora""}, {""Price"": 36.0, ""Product"": ""Gudbrandsdalsost""}]"
What is the average unit price of products in orders shipped to the same city as the supplier's city?,"[{""averageUnitPrice"": 15.440000000000001}]",MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:Order) WHERE o.shipCity = s.city RETURN AVG(p.unitPrice) AS AverageUnitPrice LIMIT 50;,"[{""AverageUnitPrice"": 16.6}]"
Which products have been reordered (reorder level not 0) and are supplied by suppliers in 'Germany'?,[],"MATCH (s:Supplier {country: ""Germany""})-[:SUPPLIES]->(p:Product) WHERE p.reorderLevel <> 0 RETURN p.productName AS Product, s.companyName AS Supplier LIMIT 50;","[{""Product"": ""NuNuCa Nu\u00df-Nougat-Creme"", ""Supplier"": ""Heli S\u00fc\u00dfwaren GmbH & Co. KG""}, {""Product"": ""Schoggi Schokolade"", ""Supplier"": ""Heli S\u00fc\u00dfwaren GmbH & Co. KG""}, {""Product"": ""Rh\u00f6nbr\u00e4u Klosterbier"", ""Supplier"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG""}, {""Product"": ""Original Frankfurter gr\u00fcne So\u00dfe"", ""Supplier"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG""}, {""Product"": ""Wimmers gute Semmelkn\u00f6del"", ""Supplier"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG""}, {""Product"": ""Nord-Ost Matjeshering"", ""Supplier"": ""Nord-Ost-Fisch Handelsgesellschaft mbH""}]"
Which products are supplied by suppliers from the UK?,"[{""productName"": ""Chai""}, {""productName"": ""Chang""}, {""productName"": ""Aniseed Syrup""}]","MATCH (s:Supplier {country: ""UK""})-[:SUPPLIES]->(p:Product) RETURN p.productName AS Product, s.companyName AS Supplier LIMIT 50;","[{""Product"": ""Chai"", ""Supplier"": ""Exotic Liquids""}, {""Product"": ""Chang"", ""Supplier"": ""Exotic Liquids""}, {""Product"": ""Aniseed Syrup"", ""Supplier"": ""Exotic Liquids""}]"
What are the top 5 most frequently ordered products in 'Seafood' category?,"[{""p.productName"": ""Jack's New England Clam Chowder"", ""orderCount"": 47}, {""p.productName"": ""Boston Crab Meat"", ""orderCount"": 41}, {""p.productName"": ""Konbu"", ""orderCount"": 40}, {""p.productName"": ""Ikura"", ""orderCount"": 33}, {""p.productName"": ""Nord-Ost Matjeshering"", ""orderCount"": 32}]","MATCH (p:Product)-[:PART_OF]->(c:Category {categoryName: ""Seafood""}) MATCH (o:Order)-[r:ORDERS]->(p) WITH p, COUNT(r) AS orderCount RETURN p.productName AS Product, orderCount ORDER BY orderCount DESC LIMIT 5;","[{""Product"": ""Jack's New England Clam Chowder"", ""orderCount"": 47}, {""Product"": ""Boston Crab Meat"", ""orderCount"": 41}, {""Product"": ""Konbu"", ""orderCount"": 40}, {""Product"": ""Ikura"", ""orderCount"": 33}, {""Product"": ""Nord-Ost Matjeshering"", ""orderCount"": 32}]"
List the top 5 products by number of times they have been ordered.,"[{""productName"": ""Raclette Courdavault"", ""orderCount"": 54}, {""productName"": ""Guaran\u00e1 Fant\u00e1stica"", ""orderCount"": 51}, {""productName"": ""Gorgonzola Telino"", ""orderCount"": 51}, {""productName"": ""Camembert Pierrot"", ""orderCount"": 51}, {""productName"": ""Gnocchi di nonna Alice"", ""orderCount"": 50}]","MATCH (p:Product)<-[:ORDERS]-(o:Order) WITH p, COUNT(o) AS orderCount RETURN p.productName AS Product, orderCount ORDER BY orderCount DESC LIMIT 5;","[{""Product"": ""Raclette Courdavault"", ""orderCount"": 54}, {""Product"": ""Guaran\u00e1 Fant\u00e1stica"", ""orderCount"": 51}, {""Product"": ""Gorgonzola Telino"", ""orderCount"": 51}, {""Product"": ""Camembert Pierrot"", ""orderCount"": 51}, {""Product"": ""Gnocchi di nonna Alice"", ""orderCount"": 50}]"
What is the total revenue generated by orders placed by customers with a company name that starts with the letter 'A'?,"[{""totalRevenue"": 27321.0}]",MATCH (c:Customer) WHERE toLower(c.companyName) STARTS WITH 'a' MATCH (c)-[:PURCHASED]->(o:Order)-[r:ORDERS]->(p:Product) WITH SUM(r.quantity * p.unitPrice) AS totalRevenue RETURN totalRevenue AS TotalRevenue;,"[{""TotalRevenue"": 27902.0}]"
Which 3 suppliers have the most products discontinued?,"[{""s.companyName"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG"", ""discontinuedProducts"": 2}, {""s.companyName"": ""Pavlova"", ""discontinuedProducts"": 1}, {""s.companyName"": ""Tokyo Traders"", ""discontinuedProducts"": 1}]","MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WHERE p.discontinued = true WITH s, COUNT(p) AS DiscontinuedProductsCount RETURN s.companyName AS Supplier, DiscontinuedProductsCount ORDER BY DiscontinuedProductsCount DESC LIMIT 3;","[{""DiscontinuedProductsCount"": 2, ""Supplier"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG""}, {""DiscontinuedProductsCount"": 1, ""Supplier"": ""Pavlova""}, {""DiscontinuedProductsCount"": 1, ""Supplier"": ""Tokyo Traders""}]"
List the first 3 orders shipped to France.,"[{""o.orderID"": ""10248"", ""o.shipName"": ""Vins et alcools Chevalier"", ""o.shipCity"": ""Reims"", ""o.shipPostalCode"": ""51100"", ""o.shipAddress"": ""59 rue de l'Abbaye"", ""o.shipCountry"": ""France"", ""o.shipRegion"": ""NULL"", ""o.shipVia"": ""3"", ""o.shippedDate"": ""1996-07-16 00:00:00.000""}, {""o.orderID"": ""10248"", ""o.shipName"": ""Vins et alcools Chevalier"", ""o.shipCity"": ""Reims"", ""o.shipPostalCode"": ""51100"", ""o.shipAddress"": ""59 rue de l'Abbaye"", ""o.shipCountry"": ""France"", ""o.shipRegion"": ""NULL"", ""o.shipVia"": ""3"", ""o.shippedDate"": ""1996-07-16 00:00:00.000""}, {""o.orderID"": ""10248"", ""o.shipName"": ""Vins et alcools Chevalier"", ""o.shipCity"": ""Reims"", ""o.shipPostalCode"": ""51100"", ""o.shipAddress"": ""59 rue de l'Abbaye"", ""o.shipCountry"": ""France"", ""o.shipRegion"": ""NULL"", ""o.shipVia"": ""3"", ""o.shippedDate"": ""1996-07-16 00:00:00.000""}]","MATCH (o:Order) WHERE o.shipCountry = ""France"" RETURN o.orderID AS OrderID, o.shippedDate AS ShippedDate, o.shipCity AS ShipCity ORDER BY o.orderID ASC LIMIT 3;","[{""OrderID"": ""10248"", ""ShipCity"": ""Reims"", ""ShippedDate"": ""1996-07-16 00:00:00.000""}, {""OrderID"": ""10274"", ""ShipCity"": ""Reims"", ""ShippedDate"": ""1996-08-16 00:00:00.000""}, {""OrderID"": ""10295"", ""ShipCity"": ""Reims"", ""ShippedDate"": ""1996-09-10 00:00:00.000""}]"
What are the supplierIDs for suppliers who have provided products to more than three different cities?,"[{""supplierID"": ""1""}, {""supplierID"": ""2""}, {""supplierID"": ""3""}, {""supplierID"": ""4""}, {""supplierID"": ""5""}, {""supplierID"": ""6""}, {""supplierID"": ""7""}, {""supplierID"": ""8""}, {""supplierID"": ""9""}, {""supplierID"": ""10""}, {""supplierID"": ""11""}, {""supplierID"": ""12""}, {""supplierID"": ""13""}, {""supplierID"": ""14""}, {""supplierID"": ""15""}, {""supplierID"": ""16""}, {""supplierID"": ""17""}, {""supplierID"": ""18""}, {""supplierID"": ""19""}, {""supplierID"": ""20""}, {""supplierID"": ""21""}, {""supplierID"": ""22""}, {""supplierID"": ""23""}, {""supplierID"": ""24""}, {""supplierID"": ""25""}, {""supplierID"": ""26""}, {""supplierID"": ""27""}, {""supplierID"": ""28""}, {""supplierID"": ""29""}]",,[]
